順位,ネーム,チャンネルネーム,所属グループ,登録者数,再生回数
115,ニュイ・ソシエール,ニュイ・ソシエール //[Nui Sociere],にじさんじ(統合後),"190,000","23,758,524"
116,三枝明那(さえぐさあきな),三枝明那 / Akina Saegusa,にじさんじ(統合後),"190,000","18,750,015"
117,鳩羽つぐ,鳩羽つぐ,,"189,000","9,222,144"
118,獅子神レオナ,獅子神レオナ/レオナちゃんねる,Re:AcT,"188,000","38,430,807"
119,バーチャル番組連盟,バーチャル番組チャンネル,,"187,000","14,393,835"
120,AZKi,AZKi Channel,ホロライブ,"184,000","8,792,697"
121,ヤミクモケリン,ケリン,upd8,"182,000","24,200,569"
122,桃鈴ねね,Nene Ch.桃鈴ねね,ホロライブ,"181,000","3,252,404"
123,楠栞桜(くすのきしお),楠栞桜 / Kusunoki Sio,,"179,000","12,998,391"
124,クマーバチャンネル,,,"176,000","174,542,229"
125,森中花咲,森中花咲,にじさんじ(1・2期生),"175,000","24,280,547"
126,文野環,文野環【にじさんじの野良猫】ふみのたまき,にじさんじ(1・2期生),"174,000","11,389,673"
127,柚木玲奈,Reina Official,えもえち,"172,000","15,502,817"
128,葉加瀬冬雪(はかせふゆき),葉加瀬 冬雪 / Hakase Fuyuki,にじさんじ(統合後),"164,000","16,085,662"
129,フレン・E・ルスタリオ,,にじさんじ(統合後),"164,000","10,414,387"
130,天開司,バーチャル債務者youtuber天開司,,"163,000","27,562,682"
133,由宇霧,由宇霧ちゃんねる【しくじり性教育】,upd8,"162,000","21,064,735"
134,イブラヒム,イブラヒム【にじさんじ】,にじさんじ(統合後),"161,000","19,142,604"
135,魔乃アロエ,Aloe Ch.魔乃アロエ,,"161,000","1,655,049"
136,バーバパパ,,,"160,000","24,689,247"
137,メリッサ・キンレンカ,,にじさんじ(統合後),"160,000","18,474,677"
138,天宮こころ,天宮 こころ / Kokoro Amamiya 【にじさんじ所属】,にじさんじ(統合後),"160,000","11,826,342"
139,ラトナ・プティ,ラトナ・プティ -Ratna Petit -にじさんじ所属,にじさんじ(統合後),"159,000","16,007,504"
140,不破湊(ふわみなと),不破 湊 / Fuwa Minato【にじさんじ】,にじさんじ(統合後),"155,000","19,720,967"
141,エルフのえる,エルフのえる / にじさんじ所属,にじさんじ(1・2期生),"155,000","13,573,811"
142,海堂飛鳥・苺谷星空,バーチャルジャニーズプロジェクト公式,,"154,000","12,110,467"
143,久遠千歳,Kudou_chitose / 久遠千歳,,"154,000","7,472,429"
144,かぐらなな,かぐらなな / ななかぐ辛党Ch,,"154,000","4,502,475"
145,燦鳥ノム(さんとりのむ),燦鳥ノム - SUNTORY NOMU -,,"152,000","24,975,106"
146,桜凛月,,にじさんじ(SEEDs出身),"152,000","14,183,485"
147,イヴ・ヴァルレーヌ,EvE channel,,"152,000","8,565,990"
148,もこ田めめめ,もこめめ*channel,.LIVE,"151,000","14,361,486"
149,Ami Yamato(海外),Ami Yamato,,"150,000","8,167,187"
150,シェリン・バーガンディ,シェリン・バーガンディ -Shellin Burgundy- 【にじさんじ】,にじさんじ(統合後),"146,000","12,109,610"
151,魔界ノりりむ,,にじさんじ(ゲーマーズ出身),"145,000","12,896,671"
152,相羽ういは,相羽ういは〖Aiba Uiha〗にじさんじ所属,にじさんじ(統合後),"143,000","13,178,687"
153,甲賀流忍者 ぽんぽこ,ぽんぽこちゃんねる,,"142,000","39,853,117"
154,ぐでたま,GUDETAMA / ぐでたま【Sanrio Official】,サンリオ,"141,000","57,081,283"
155,天野ピカミィ. Pikamee,,VOMS,"141,000","4,012,007"
156,松村上久郎,,転生組,"140,000","11,314,445"
157,田中好男,田中のおっさん,,"140,000","4,897,675"
158,夕陽リリ,Yuhi Riri Official,にじさんじ(1・2期生),"137,000","12,528,843"
159,町田ちま,町田ちま【にじさんじ】,にじさんじ(SEEDs出身),"136,000","11,474,095"
160,すももチャンネル,,,"135,000","33,418,458"
161,歌衣メイカ,メイカちゃんねる,upd8,"135,000","16,666,908"
162,白雪巴(しらゆきともえ),白雪 巴/Shirayuki Tomoe【にじさんじ】,にじさんじ(統合後),"135,000","9,561,123"
163,ハナ・マキア,Hana Macchia Ch.【NIJISANJI id】,NIJISANJI ID,"134,000","5,036,950"
164,宇志海いちご,宇志海いちご,にじさんじ(1・2期生),"133,000","8,670,837"
165,音霊魂子 水菜月夏希 石狩あかり,あおぎり高校,あおぎり高校,"132,000","23,756,533"
166,えま★おうがすと,,にじさんじ(統合後),"132,000","5,401,045"
167,卯月コウ,卯月コウ,にじさんじ(SEEDs出身),"131,000","16,780,844"
168,レヴィ・エリファ,レヴィ・エリファ-Levi Elipha-,にじさんじ(統合後),"131,000","12,577,396"
169,神田笑一,【にじさんじ】神田笑一,にじさんじ(SEEDs出身),"130,000","15,213,186"
170,家長むぎ,家長むぎ【にじさんじ所属】,にじさんじ(1・2期生),"130,000","3,973,644"
171,高生紳士,,VEEMusic,"128,000","33,026,948"
172,波羅ノ鬼,,,"127,000","12,492,082"
173,ましろ,ましろ / Mashiro,にじさんじ(統合後),"127,000","8,796,956"
174,西園寺メアリ,Mary Channel / 西園寺メアリ【ハニスト】,ハニーストラップ,"126,000","15,130,253"
175,Vei - TWITCH,,,"126,000","4,002,807"
176,クロノワール(叶 葛葉),ChroNoiR,にじさんじ(ゲーマーズ出身),"125,000","5,861,658"
177,超人女子戦士 ガリベンガーV(テレビ朝日),超人女子戦士 ガリベンガーV,.LIVE,"124,000","25,750,427"
178,柚木凛,ゆずきチャンネル,えもえち,"124,000","14,392,336"
179,癒月ちょこ(サブチャンネル),Choco subCh. 癒月ちょこ,ホロライブ,"124,000","1,081,226"
180,黒井しば,黒井しば【にじさんじの犬】,にじさんじ(SEEDs出身),"122,000","9,519,457"
181,かしこまり,Mari Channel,upd8,"121,000","19,829,956"
182,愛園愛美(あいぞのまなみ),愛園 愛美/Aizono Manami,にじさんじ(統合後),"120,000","5,806,196"
183,餅月ひまり,ひまりソング,,"118,000","8,740,000"
184,風見唯花,YUIKA'S ROOM,Brave group,"118,000","5,922,581"
185,アユンダ・リス,Ayunda Risu Ch. hololive-ID,ホロライブ,"118,000","3,047,918"
186,葉山舞鈴,葉山舞鈴 / Hayama Marin【にじさんじ所属】,にじさんじ(統合後),"117,000","13,470,026"
187,雨森小夜,,にじさんじ(SEEDs出身),"117,000","8,326,847"
188,はかりかんな,-かんなチャンネル-Kanna Channel,フェレット女学院,"117,000","7,179,061"
189,Alia Adelia Ch.,,,"116,000","4,590,680"
190,流石乃ルキ 流石乃ロキ,ルキロキチャンネル - Ruki Roki Channel -,,"113,000","13,467,972"
191,スマサポチャンネル,,,"113,000","11,868,266"
192,YuChan Channel,,,"113,000","3,037,511"
193,浅井ラム,浅井ラム映画レビュー【知的風ハット】,,"112,000","19,396,637"
194,早瀬走(はやせそう),早瀬 走 / Hayase Sou【にじさんじ所属】,にじさんじ(統合後),"112,000","7,689,170"
195,エリー・コニファー,エリー・コニファー / Eli Conifer【にじさんじ】,にじさんじ(統合後),"112,000","5,488,777"
196,ふぇありす,Fairys Channel,バ美肉,"111,000","13,238,355"
197,北上双葉,北上双葉,.LIVE,"111,000","9,086,202"
198,SALLA.R,,,"110,000","8,637,670"
199,kson ONAIR,,,"109,000","4,960,857"
200,夜桜たま,夜桜たま,,"108,000","11,666,688"
201,フミ,フミ/にじさんじ,にじさんじ(統合後),"108,000","8,397,456"
202,モイラ,《にじさんじ所属の女神》モイラ,にじさんじ(1・2期生),"108,000","7,031,423"
203,奈羅花(ならか),奈羅花 - Naraka -,にじさんじ(統合後),"108,000","4,876,832"
204,ともえとエルゼのほんわかASMR,,,"107,000","29,570,103"
205,ルイス・キャミー,,にじさんじ(統合後),"107,000","5,550,058"
206,金魚坂めいろ,,にじさんじ(統合後),"107,000","2,991,542"
207,朝ノ姉妹ぷろじぇくと,,,"106,000","11,607,940"
208,魔使マオ(まつかいまお),魔使マオ -matsukai mao-,にじさんじ(統合後),"106,000","6,953,166"
209,ばあちゃる,【世界初?!】男性バーチャルYouTuber ばあちゃる,.LIVE,"106,000","6,882,180"
210,赤羽葉子,Akabane Channel,にじさんじ(ゲーマーズ出身),"106,000","3,992,576"
211,ディープウェブ・アンダーグラウンド(DWU),DeepWebUnderground,,"105,000","6,073,503"
212,渋谷ハジメ,渋谷ハジメのはじめ支部,にじさんじ(1・2期生),"104,000","15,315,853"
213,金剛いろは,,.LIVE,"104,000","8,135,577"
214,クリムゾンチャンネル Official,,,"102,000","4,691,621"
215,星乃めあ,星乃めあ - virtual singer -,夢見坂学院,"101,000","13,631,247"
216,白雪みしろ,白雪みしろShirayuki Mishiro,のりプロ,"101,000","4,274,981"
217,一ノ瀬うるは,,ぶいすぽっ!,"100,000","7,140,140"
218,ディープブリザード(深雪),ディープブリザード,,"100,000","5,204,590"
219,Project A.I.D,Project A.I.D 公式チャンネル,,"98,800","5,312,070"
220,赤月ゆに,UNIchannel,,"98,700","5,986,197"
221,理芽(りめ),理芽,神椿,"98,200","14,727,993"
222,れいきら!,,,"98,000","3,336,848"
223,八重沢なとり,八重沢なとり,.LIVE,"97,100","12,355,628"
224,ピーナッツくん,ピーナッツくん!オシャレになりたい!,,"96,900","19,294,849"
225,小野町春香,小野町春香-OnomachiHaruka-にじさんじ,にじさんじ(統合後),"96,200","6,316,514"
226,雪城眞尋(ゆきしろ まひろ),雪城眞尋/Yukishiro Mahiro【にじさんじ所属】,にじさんじ(統合後),"95,700","3,695,733"
227,アンジョー コーサカ,MonsterZ MATE,Balus,"95,200","23,872,502"
228,白百合リリィ,しらゆりヘブンちゃんねる,ViViD,"93,900","4,715,874"
229,花京院ちえり,花京院ちえり,.LIVE,"93,200","13,714,414"
230,鈴木勝,Re‡D.E.放送局【鈴木勝/にじさんじ】,にじさんじ(SEEDs出身),"93,000","8,126,343"
231,伏見ガク,伏見ガク【にじさんじ所属】,にじさんじ(1・2期生),"92,900","2,757,907"
232,鹿乃,鹿乃 / Kano,花寄女子寮,"92,100","3,188,449"
233,出雲霞,《IzumoKasumi》Project channel【にじさんじ】,にじさんじ(SEEDs出身),"90,800","6,760,337"
234,ムーナ・ホシノヴァ,Moona Hoshinova hololive-ID,ホロライブ,"90,700","2,269,193"
235,鈴谷アキ,鈴谷アキの陽だまりの庭,にじさんじ(1・2期生),"90,400","4,151,658"
236,兎鞠まり,Tomari Mari channel / 兎鞠まりちゃんねる,upd8,"90,100","5,274,492"
237,keiichi arawi,,,"89,900","2,231,515"
238,斗和キセキ,,,"88,600","2,808,101"
239,焼まゆるのお絵かきちゃんねる,,,"88,300","4,907,077"
240,鳴神裁(なるかみ さばき),Narukami Sabaki Official,,"87,900","17,668,391"
241,ウェザーロイドAiri,ウェザーロイド Airi（ポン子）,,"87,500","8,446,152"
242,リズ,KMNZ LIZ,WFLE,"87,400","8,579,206"
243,放課後ゲーム部,,Brave group,"86,100","3,494,787"
244,神楽すず,,.LIVE,"85,400","13,708,954"
245,グウェル・オス・ガール,グウェル・オス・ガール / Gwelu Os Gar 【にじさんじ】,にじさんじ(統合後),"85,100","8,921,036"
246,空星きらめ,空星きらめ/Sorahoshi Kirame【にじさんじ】,にじさんじ(統合後),"85,000","1,167,011"
247,アイラニ・イオフィフティーン,Airani Iofifteen Channel hololive-ID,ホロライブ,"84,000","2,100,223"
248,甲斐田晴(かいだはる),甲斐田晴,にじさんじ(統合後),"83,900","5,190,207"
249,ヤマト・イオリ,ヤマト イオリ,.LIVE,"83,700","7,593,263"
250,ふくやマスター,マスター TV,upd8,"83,600","2,162,150"
251,シャンデリ【Claw Machine Japan】,,,"83,200","28,480,020"
252,Iron Mouse,,,"83,000","830,439"
253,ぽてち,PJ.ぽてち,,"82,900","3,464,115"
254,のらきゃっと,のらきゃっとチャンネル,upd8,"82,100","3,809,902"
255,Juno,,,"81,400","2,045,827"
256,somunia,somunia room,,"81,300","6,163,636"
257,西園チグサ,西園チグサ / Nishizono Chigusa,にじさんじ(統合後),"81,100","1,800,544"
258,ざき《役満Vtuber》,,,"80,800","15,982,837"
259,リタ,KMNZ LITA,WFLE,"80,200","8,151,457"
260,吟醸姉妹,吟醸姉妹/Ginjo Shimai,,"80,000","2,889,976"
261,飛鳥ひな,飛鳥ひな【にじさんじ所属】,にじさんじ(SEEDs出身),"79,600","3,011,190"
262,カルロ・ピノ,カルロ・ピノ,.LIVE,"79,400","9,487,920"
263,山神カルタ,山神 カルタ,にじさんじ(統合後),"79,400","4,440,307"
264,まこと。2nd channel,,,"79,200","695,280"
265,瀬戸美夜子,瀬戸 美夜子 - Miyako Seto,にじさんじ(統合後),"78,900","3,927,170"
266,マガジヨミ,週刊少年マガジン,転生組,"78,500","31,991,405"
267,花香琴音レーサーVtuber,,,"78,100","10,464,706"
268,猫乃木もち,,,"77,600","4,516,923"
269,バーチャルゴリラ,,VEEMusic,"77,300","6,253,892"
270,ハッカドール,Hacka Channel ハッカドール,,"76,000","3,015,760"
271,ユメノシオリ,ユメノシオリ ASMR火曜の女,ぱりぷろ,"75,700","6,441,535"
272,音霊魂子,たまこ。Ch./あおぎり高校,あおぎり高校,"75,400","5,305,768"
273,チョイ(海外),초이 CHOY,,"75,200","12,314,589"
274,長尾景,長尾景 Kei Nagao,にじさんじ(統合後),"74,400","4,617,108"
275,LStypeMiku,LStypeMiku Vtuber Channel,,"74,300","4,441,569"
276,藤崎由愛(YUA),YUA/藤崎由愛,,"74,200","4,253,161"
277,遠北千南(あちきたちなみ),遠北千南 / Achikita Chinami 【にじさんじ】,,"73,500","2,120,689"
278,芦澤サキ(あしざわさき),芦澤サキ / SAKI ASHIZAWA,Brave group,"73,300","5,287,437"
279,雪汝(セツナ),雪汝*setsuna channel,,"73,200","4,091,401"
280,マグロナ,まぐろなちゃんねる,upd8,"73,200","3,987,593"
281,メリーミルク,メリーミルクの森,.LIVE,"73,100","3,420,550"
282,Rin Asobi,,,"73,100","1,879,884"
283,轟京子,轟 京子,にじさんじ(SEEDs出身),"72,600","3,445,480"
284,カナメとハルキー,,,"71,900","7,327,155"
285,日ノ隈らん,Ran Channel / 日ノ隈らん 【あにまーれ】,あにまーれ,"71,900","6,047,084"
286,鈴代ここねと 鈴代つきね(ココツキ),ココツキCocoTsuki Project,upd8,"71,900","5,292,735"
287,赤井はあと(サブチャンネル),Akai Haato Sub 赤井はあと,ホロライブ,"71,900","97,992"
288,杏戸ゆげ,Uge Channel / 杏戸ゆげ 【ブイアパ】,ブイアパ,"70,600","5,594,564"
289,少年あしたくん,,,"70,600","4,139,900"
290,春猿火,,神椿,"70,400","7,792,856"
291,ヤッターマン2号カミナリアイ ボヤッキー,Yatterman Channel/ヤッターマンチャンネル,,"70,400","4,511,475"
292,黒咲りん,黒咲りんRin Kurosaki,,"70,000","2,146,138"
293,でびっち でびでび・でびる(旧),でび縺」縺。縺ッ豁サ縺ォ縺セ縺励,にじさんじ(SEEDs出身),"69,900","2,703,163"
294,闇夜乃モルル,闇夜乃モルル / Moruru Yamiyono,,"69,220",0
295,宇森ひなこ,Hinako Channel / 宇森ひなこ 【あにまーれ】,,"68,700","1,839,574"
296,ぽちまる/ぽち小屋。ちゃんねる,,バ美肉,"68,300","1,977,881"
297,音羽ララ 春歌みこと,ウタゴエ放送部プロジェクト,upd8,"68,200","8,872,357"
298,道明寺ここあ,COCOA CHANNEL,Brave group,"68,000","4,542,908"
299,銀河アリス,銀河アリスの地球侵略ch.,Balus,"67,600","8,375,414"
300,.LIVE公式,どっとライブ,.LIVE,"67,300","6,270,139"
301,もちひよこ,もちひよこ,もちぷろ,"67,300","5,351,858"
302,堰代ミコ(せきしろミコ),Mico Channel / 堰代ミコ【ハニスト】,ハニーストラップ,"67,300","4,999,623"
303,ギルザレンIII世,Gilzaren III Season 2,にじさんじ(1・2期生),"66,000","1,661,319"
304,Emoco Ch. / えもこ,,,"65,800","6,053,766"
305,柚木チャンネル(ライブ),柚木チャンネル ♡生放送専用♡,えもえち,"65,600","3,896,855"
306,セア(海外),세아 스토리,,"65,500","5,916,497"
307,木曽あずき,,.LIVE,"65,300","1,969,052"
308,宗谷いちか,Ichika Channel / 宗谷 いちか 【あにまーれ】,あにまーれ,"65,200","4,966,857"
309,鴨見カモミ,CAMOMI Camomi Channel 【鴨見カモミ】,,"65,000","3,870,484"
310,アキ・ローゼンタール(サブチャンネル),AkiRose Ch.アキ・ローゼンタールSub,ホロライブ,"64,600","56,614"
311,まんさや,,転生組,"64,300","4,023,540"
312,愛宮みるく,愛宮みるくMilk Enomiya,のりプロ,"64,200","1,267,097"
313,弦月藤士郎,弦月 藤士郎 / Genzuki Tojiro【にじさんじ】,にじさんじ(統合後),"63,600","3,569,962"
314,冒志乃らむ,Okashino Ram 冒志乃らむ,ぶいめん,"63,400","1,252,073"
315,天翔院ひいな,ひいなちゃんねる,PinkPunkPro,"63,300","2,501,871"
316,白真くま,Shiroma Kuma 白真くま,ぶいめん,"63,200","1,006,213"
317,藤間桜,藤間桜【22/7公式】,22/7,"63,000","6,665,042"
318,みあたみちゃんねる,みあたみちゃんねるmiatamiChannel,,"62,600","2,848,866"
319,神成きゅぴ_武装彼女,,武装彼女,"62,600","1,422,540"
320,来栖夏芽(くるすなつめ),来栖 夏芽-kurusu natsume-【にじさんじ】,にじさんじ(統合後),"62,400","2,332,227"
321,蒼月エリ,Eli Channel / 蒼月エリ【ハニスト】,,"62,243",0
322,エイレーン,エイレーン 改 （Eilene Channel),エイレーン一家,"62,100",0
